               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.042727,             0.02321,                   0,             0.77129,             0.69294,             0.75076,             0.39827,            0.041276,            0.014427,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.042742,            0.023477,                   0,             0.77233,             0.69334,             0.75119,             0.39695,            0.041379,            0.014404,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.042241,             0.02335,                   0,             0.79427,             0.69222,             0.75996,             0.40481,            0.041028,            0.014278,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042037,            0.023087,                   0,             0.77591,             0.69757,             0.75549,             0.40525,            0.040835,            0.014202,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042236,            0.023198,                   0,             0.76999,             0.70827,              0.7577,             0.40688,            0.040882,            0.014242,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.042079,            0.023115,                   0,             0.78717,             0.70002,             0.76005,              0.4094,            0.040736,            0.014108,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.042067,             0.02304,                   0,             0.78671,             0.70938,             0.76523,             0.41444,            0.040345,            0.014102,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.041733,            0.022996,                   0,             0.79855,             0.70314,             0.77109,             0.41712,            0.040351,            0.013989,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.04119,            0.022696,                   0,             0.80147,             0.70896,             0.77219,             0.41884,            0.040127,            0.013951,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.041174,            0.022733,                   0,             0.80315,             0.70651,             0.77253,             0.42525,            0.039988,            0.013907,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.041194,             0.02281,                   0,             0.81421,             0.70419,             0.77684,             0.42716,            0.039856,            0.013829,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.041255,             0.02301,                   0,             0.81529,             0.70432,             0.77885,             0.42805,            0.039785,            0.013829,                   0,            0.005149,            0.005149,            0.005149
